domain,company,kind,source
artifex.org,Artifex,company,cncf-gitdm-single
aru.sh,rtCamp,company,cncf-gitdm-single
arubanetworks.com,Aruba Networks,company,gitdm
arvoo.nl,ARVOO Engineering,company,gitdm
asana.com,Asana,company,cncf-gitdm-single
asbjorn.st,Mugami,company,cncf-gitdm-single
ascribe.io,ascribe,company,cncf-gitdm-single
ashconnell.com,Glow,company,cncf-gitdm-single
ashishgandhi.org,Uber,company,cncf-gitdm-single
ashleygrant.com,Microsoft,company,cncf-gitdm-single
ashoka.edu.in,Hi-Q Solutions,company,cncf-gitdm-single
asiainfo.com,亚信科技 AsiaInfo,company,cncf-gitdm-single
askbot.com,Askbot,company,gitdm
asme.org,Virtustream,company,cncf-gitdm-single
asomi.com,Nexenta Systems,company,cncf-gitdm-single
aspect.com,Aspect Software,company,cncf-gitdm-single
aspeedtech.com,ASPEED,company,patch
aspenmesh.io,F5 Networks,company,cncf-gitdm-single
assembla.com,Assembla,company,cncf-gitdm-single
astekk.se,Svenska Spel,company,cncf-gitdm-single
asymmetricventures.com,Asymmetric Ventures,company,cncf-gitdm-single
asynk.ch,Heraeus,company,cncf-gitdm-single
ataylor.io,Diffeo,company,cncf-gitdm-single
atcsim.de,ATCSim,company,cncf-gitdm-single
athemeus.com,Braintree Payments,company,cncf-gitdm-single
atheros.com,Qualcomm,company,patch
atihita.com,Lambda Linux Project,company,cncf-gitdm-single
atish.info,Atish Narlawar,company,cncf-gitdm-single
atish.me,HugeInc,company,cncf-gitdm-single
atlantbh.com,Atlantbh Sarajevo,company,cncf-gitdm-single
atlassian.com,Atlassian,company,spinellis-sec
atmel.com,Atmel,company,gitdm
atomia.com,Atomia,company,gitdm
atomide.com,Atomide,company,gitdm
atos.net,Atos,company,cncf-gitdm
att.com,AT&T,company,gitdm
attinteractive.com,AT&T,company,gitdm
atto-research.com,ATTO,company,cncf-gitdm-single
au1.ibm.com,International Business Machines,company,cncf-gitdm
audrius.rocks,G-Research,company,cncf-gitdm-single
augello.be,One.com,company,cncf-gitdm-single
aumjaud.fr,Société Générale,company,cncf-gitdm-single
aurorasolutions.io,Stakater,company,cncf-gitdm-single
austad.us,Cisco Systems,company,cncf-gitdm-single
authlete.com,Authlete,company,cncf-gitdm-single
autodesk.com,Autodesk,company,cncf-gitdm
autonomic.ai,Autonomic,company,cncf-gitdm-single
autotrader.co.uk,Auto Trader,company,cncf-gitdm-single
av.it.pt,Instituto de Telecomunicacoes,company,gitdm
avalara.com,AVALARA,company,spinellis-sec
avastmehearties.com,Netflix,company,cncf-gitdm-single
avaya.com,Avaya,company,gitdm
ave81.com,LeadPages,company,cncf-gitdm-single
avi.com,Code Dx,company,cncf-gitdm-single
avi.im,Iavin.com,company,cncf-gitdm-single
avinetworks.com,Avi Networks,company,gitdm
avinor.no,Avinor,company,cncf-gitdm-single
avito.ru,Avito,company,cncf-gitdm-single
avl.com,AVL,company,patch
avnet.com,AVNET,company,spinellis-sec
avtrex.com,Avtrex,company,gitdm
awcloud.com,Awcloud,company,gitdm
awinic.com,Awinic,company,patch
axis.com,Axis Communications,company,gitdm
axway.com,Axway,company,gitdm
azingo.com,Azingo,company,gitdm
azmon.org,Intuit,company,cncf-gitdm-single
azzolari.it,Fluidware,company,cncf-gitdm-single
b-com.com,B.COM,company,gitdm
b1-systems.de,B1 Systems GmbH,company,gitdm
babbel.com,Babbel,company,cncf-gitdm-single
babico.name.tr,NGX Storage,company,cncf-gitdm-single
backbord.net,Bau-Technik,company,cncf-gitdm-single
backha.us,Traum-Ferienwohnungen,company,cncf-gitdm-single
backtick.net,CoreOS,company,cncf-gitdm-single
bacoosta.com,Bacoosta IT Services,company,gitdm
bah.com,Booz Allen Hamilton,company,cncf-gitdm-single
baidu.com,Baidu,company,patch
bakedbeans.com,Solaise Capital Management,company,cncf-gitdm-single
bakito.ch,Six Group,company,cncf-gitdm-single
balabit.com,BalaBit,company,gitdm
balabit.hu,BalaBit,company,gitdm
ball.com,BALL,company,spinellis-sec
baloise.ch,Baloise,company,cncf-gitdm-single
bankofamerica.com,Bank of America,company,rich
baobob.org,DAILYMOTION,company,cncf-gitdm-single
barcelonagse.eu,Happy Traum,company,cncf-gitdm-single
barcet.com,Red Hat,company,cncf-gitdm-single
barefootnetworks.com,Barefoot Networks,company,cncf-gitdm
barracuda.com,Barracuda Networks,company,cncf-gitdm-single
base.nu,SumUp,company,cncf-gitdm-single
base2services.com,base2Services,company,cncf-gitdm-single
bashi.co.uk,Yelp,company,cncf-gitdm-single
basho.com,Basho,company,cncf-gitdm-single
baslerweb.com,Basler Vision Technologies,company,gitdm
bastelfreak.de,Vox Pupuli,company,cncf-gitdm-single
bastelstu.be,WoltLab,company,cncf-gitdm-single
batix.com,Batix Software,company,cncf-gitdm-single
bay.ws,Bay,company,gitdm
baylibre.com,BayLibre,consultancy,patch
bayour.com,Royal Pharmaceutical Society,company,cncf-gitdm-single
bbva.com,BBVA,company,gitdm
bcmills.net,Google,company,cncf-gitdm-single
bcsw.net,Boling Consulting Solutions,company,cncf-gitdm-single
bcx.co.za,BCX,company,gitdm
bcx.com,BCX,company,gitdm
bear2.cn,Tencent Holdings,company,cncf-gitdm-single
beardog.cce.hp.com,HP,company,cncf-gitdm-single
beefdisciple.com,NearForm,company,cncf-gitdm-single
beekhof.net,Red Hat,company,cncf-gitdm-single
beerdrinker.org,Nike,company,cncf-gitdm-single
bekbulatov.ru,William Hill,company,cncf-gitdm-single
beldougie.com,Beldougie,company,cncf-gitdm-single
bellgeorge.com,Bell George,company,cncf-gitdm-single
ben-hanna.com,Red Hat,company,cncf-gitdm-single
benbria.ca,Benbria,company,cncf-gitdm-single
bendarnell.com,Cockroach Labs,company,cncf-gitdm-single
bendyworks.com,Pusher,company,cncf-gitdm-single
benincosa.com,Cisco Systems,company,cncf-gitdm-single
benito.qsl.br,Samsung Electronics,company,cncf-gitdm-single
benj.me,Mozilla,company,cncf-gitdm-single
benjaminfuchs.de,BFAM,company,cncf-gitdm-single
bennlinger.com,Certes Networks,company,cncf-gitdm-single
benocs.com,BENOCS,company,cncf-gitdm-single
benyanke.com,Adventure Weekends,company,cncf-gitdm-single
benzimmer.net,Beny Global,company,cncf-gitdm-single
berkeley.edu,Microsoft,company,cncf-gitdm
beroux.com,Google,company,cncf-gitdm-single
bestbuy.com,Best Buy,company,gitdm
betaev.pub,Grid Dynamics,company,cncf-gitdm-single
betomuniz.com,Grafana Labs,company,cncf-gitdm-single
betterdoctor.com,BetterDoctor,company,cncf-gitdm-single
beyondcent.com,BoCloud,company,cncf-gitdm
bgch.co.uk,Hive GB,company,cncf-gitdm-single
biarca.com,DBS Bank,company,cncf-gitdm-single
biering.dk,Peercraft,company,cncf-gitdm-single
bigjump.co.uk,BigJump,company,cncf-gitdm-single
bigstep.com,BigStep Technologies Pvt.,company,cncf-gitdm-single
bigswitch.com,Big Switch Networks,company,gitdm
