# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-13 by select_corpus.py — 1972 projects; labels from control facts
# size_class: S < 30k commits | M 30k-150k | L > 150k
mpv	https://github.com/mpv-player/mpv.git	community	\.[ch]$	M
mediapipe	https://github.com/google-ai-edge/mediapipe.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
firecracker	https://github.com/firecracker-microvm/firecracker.git	community	\.rs$	S
leetcode	https://github.com/doocs/leetcode.git	community	\.java$	S
pnpm	https://github.com/pnpm/pnpm.git	community	\.rs$	S
llmfit	https://github.com/AlexsJones/llmfit.git	community	\.rs$	S
just	https://github.com/casey/just.git	community	\.rs$	S
jq	https://github.com/jqlang/jq.git	community	\.[ch]$	S
zellij	https://github.com/zellij-org/zellij.git	community	\.rs$	S
netty	https://github.com/netty/netty.git	community	\.java$	S
glide	https://github.com/bumptech/glide.git	community	\.java$	S
raylib	https://github.com/raysan5/raylib.git	community	\.[ch]$	S
stb	https://github.com/nothings/stb.git	community	\.[ch]$	S
btop	https://github.com/aristocratos/btop.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
qdrant	https://github.com/qdrant/qdrant.git	community	\.rs$	S
selenium	https://github.com/SeleniumHQ/selenium.git	community	\.java$	M
swc	https://github.com/swc-project/swc.git	community	\.rs$	S
fish-shell	https://github.com/fish-shell/fish-shell.git	community	\.rs$	S
zxing	https://github.com/zxing/zxing.git	community	\.java$	S
carbon-lang	https://github.com/carbon-language/carbon-lang.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
tabby	https://github.com/TabbyML/tabby.git	community	\.rs$	S
explorerpatcher	https://github.com/valinet/ExplorerPatcher.git	community	\.[ch]$	S
mise	https://github.com/jdx/mise.git	community	\.rs$	S
serenity	https://github.com/SerenityOS/serenity.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
freecad	https://github.com/FreeCAD/FreeCAD.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
smarttube	https://github.com/yuliskov/SmartTube.git	community	\.java$	S
x-algorithm	https://github.com/xai-org/x-algorithm.git	community	\.rs$	S
tokio	https://github.com/tokio-rs/tokio.git	community	\.rs$	S
wxjava	https://github.com/binarywang/WxJava.git	community	\.java$	S
surrealdb	https://github.com/surrealdb/surrealdb.git	community	\.rs$	S
tdesktop	https://github.com/telegramdesktop/tdesktop.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
shadps4	https://github.com/shadps4-emu/shadPS4.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
yew	https://github.com/yewstack/yew.git	community	\.rs$	S
proton	https://github.com/ValveSoftware/Proton.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
zeroclaw	https://github.com/zeroclaw-labs/zeroclaw.git	community	\.rs$	S
buzz	https://github.com/block/buzz.git	community	\.rs$	S
windterm	https://github.com/kingToolbox/WindTerm.git	community	\.[ch]$	S
conductor	https://github.com/conductor-oss/conductor.git	community	\.java$	S
delta	https://github.com/dandavison/delta.git	community	\.rs$	S
linera-protocol	https://github.com/linera-io/linera-protocol.git	community	\.rs$	S
rustfs	https://github.com/rustfs/rustfs.git	community	\.rs$	S
qtscrcpy	https://github.com/barry-ran/QtScrcpy.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
nginx	https://github.com/nginx/nginx.git	community	\.[ch]$	S
atuin	https://github.com/atuinsh/atuin.git	community	\.rs$	S
lede	https://github.com/coolsnowwolf/lede.git	community	\.[ch]$	S
jj	https://github.com/jj-vcs/jj.git	community	\.rs$	S
dragonfly	https://github.com/dragonflydb/dragonfly.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
iced	https://github.com/iced-rs/iced.git	community	\.rs$	S
handy	https://github.com/cjpais/Handy.git	community	\.rs$	S
finceptterminal	https://github.com/Fincept-Corporation/FinceptTerminal.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
antigravity-manager	https://github.com/lbjlaq/Antigravity-Manager.git	community	\.rs$	S
turborepo	https://github.com/vercel/turborepo.git	community	\.rs$	S
cli	https://github.com/googleworkspace/cli.git	community	\.rs$	S
rust-course	https://github.com/sunface/rust-course.git	community	\.rs$	S
flameshot	https://github.com/flameshot-org/flameshot.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
codexplusplus	https://github.com/BigPizzaV3/CodexPlusPlus.git	community	\.rs$	S
openssl	https://github.com/openssl/openssl.git	community	\.[ch]$	M
meetily	https://github.com/Zackriya-Solutions/meetily.git	community	\.rs$	S
xxl-job	https://github.com/xuxueli/xxl-job.git	community	\.java$	S
egui	https://github.com/emilk/egui.git	community	\.rs$	S
anki	https://github.com/ankitects/anki.git	community	\.rs$	S
hutool	https://github.com/chinabugotech/hutool.git	community	\.java$	S
xiaozhi-esp32	https://github.com/78/xiaozhi-esp32.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
