iso	project	class	phase	elapsed_s	tree_rss_mb	tree_procs	cpu_pct	mem_used_mb	disk_free_gb	load1
2026-09-13T13:28:15+00:00	torvalds__linux	L	pipeline	29411	4656	27	95.2	23021	1368	27.7158203125
2026-09-13T13:28:30+00:00	torvalds__linux	L	pipeline	29426	4491	9	93.7	23041	1368	28.59619140625
2026-09-13T13:28:45+00:00	torvalds__linux	L	pipeline	29441	4930	55	90.9	23138	1367	29.29443359375
2026-09-13T13:29:00+00:00	torvalds__linux	L	pipeline	29456	4770	38	91.8	23007	1367	29.8974609375
2026-09-13T13:29:15+00:00	torvalds__linux	L	pipeline	29471	5055	65	88.4	23119	1367	30.66357421875
2026-09-13T13:29:30+00:00	torvalds__linux	L	pipeline	29486	4496	9	84.7	23003	1367	30.05029296875
2026-09-13T13:29:45+00:00	torvalds__linux	L	pipeline	29501	4865	49	92.1	23145	1367	29.212890625
2026-09-13T13:30:00+00:00	torvalds__linux	L	pipeline	29516	4825	45	88.6	22990	1367	29.4248046875
2026-09-13T13:30:15+00:00	torvalds__linux	L	pipeline	29531	4639	24	87.8	22986	1367	30.95703125
2026-09-13T13:30:30+00:00	torvalds__linux	L	pipeline	29546	4926	51	94.9	23160	1367	31.95068359375
2026-09-13T13:30:45+00:00	torvalds__linux	L	pipeline	29561	4661	32	90.4	23474	1367	31.55810546875
2026-09-13T13:31:00+00:00	torvalds__linux	L	pipeline	29576	4810	43	92.7	23145	1366	31.28857421875
2026-09-13T13:31:15+00:00	torvalds__linux	L	pipeline	29591	4802	38	92.4	23100	1366	30.52197265625
2026-09-13T13:31:30+00:00	torvalds__linux	L	pipeline	29606	4972	55	93.4	23133	1366	30.89501953125
2026-09-13T13:31:45+00:00	torvalds__linux	L	pipeline	29622	4723	33	94.0	23510	1366	32.80126953125
2026-09-13T13:32:00+00:00	torvalds__linux	L	pipeline	29637	4995	62	87.8	23010	1366	32.72216796875
2026-09-13T13:32:16+00:00	torvalds__linux	L	pipeline	29652	4850	46	84.9	23084	1366	32.255859375
2026-09-13T13:32:31+00:00	torvalds__linux	L	pipeline	29667	5085	64	87.0	23143	1366	31.4169921875
2026-09-13T13:32:46+00:00	torvalds__linux	L	pipeline	29682	4892	51	85.9	23428	1366	29.45947265625
2026-09-13T13:33:01+00:00	torvalds__linux	L	pipeline	29697	5107	70	90.9	23109	1365	29.95703125
2026-09-13T13:33:16+00:00	torvalds__linux	L	pipeline	29712	4672	28	91.6	22961	1365	29.80810546875
2026-09-13T13:33:31+00:00	torvalds__linux	L	pipeline	29727	5193	79	91.5	23176	1365	31.48681640625
2026-09-13T13:33:46+00:00	torvalds__linux	L	pipeline	29742	4590	21	93.0	23203	1365	32.1796875
2026-09-13T13:34:01+00:00	torvalds__linux	L	pipeline	29757	4838	45	93.6	23093	1365	32.44384765625
2026-09-13T13:34:16+00:00	torvalds__linux	L	pipeline	29772	4908	54	91.7	23169	1365	32.1806640625
2026-09-13T13:34:31+00:00	torvalds__linux	L	pipeline	29787	4825	43	94.9	23235	1365	32.4248046875
2026-09-13T13:34:46+00:00	torvalds__linux	L	pipeline	29802	5168	73	92.1	23234	1365	31.0859375
2026-09-13T13:35:01+00:00	torvalds__linux	L	pipeline	29817	4847	46	95.5	23170	1364	30.97900390625
2026-09-13T13:35:16+00:00	torvalds__linux	L	pipeline	29832	4773	39	93.3	23019	1364	29.67236328125
2026-09-13T13:35:31+00:00	torvalds__linux	L	pipeline	29847	4907	45	94.6	23179	1364	29.025390625
2026-09-13T13:35:46+00:00	torvalds__linux	L	pipeline	29862	4913	52	89.5	23245	1364	27.67626953125
2026-09-13T13:36:01+00:00	torvalds__linux	L	pipeline	29878	4951	57	90.4	23103	1364	27.7001953125
2026-09-13T13:36:16+00:00	torvalds__linux	L	pipeline	29893	4661	28	90.0	23130	1364	27.263671875
2026-09-13T13:36:31+00:00	torvalds__linux	L	pipeline	29908	4637	30	86.6	23062	1364	26.6201171875
2026-09-13T13:36:46+00:00	torvalds__linux	L	pipeline	29923	4857	47	81.0	23375	1364	23.56884765625
2026-09-13T13:37:02+00:00	torvalds__linux	L	pipeline	29938	4747	41	90.1	23047	1364	26.02294921875
2026-09-13T13:37:17+00:00	torvalds__linux	L	pipeline	29953	4878	52	93.2	22995	1363	26.68994140625
2026-09-13T13:37:32+00:00	torvalds__linux	L	pipeline	29968	4591	21	84.8	23167	1363	26.19140625
2026-09-13T13:37:47+00:00	torvalds__linux	L	pipeline	29983	4952	54	93.0	23002	1363	27.78125
2026-09-13T13:38:02+00:00	torvalds__linux	L	pipeline	29998	4983	57	93.4	23151	1363	28.33349609375
